point_id,case,mach,cd_fore_last_window,cd_fore_previous_window,rel_difference
dp034,dp034_coarse_a0,7.301871282991542,1.3868518646585688,1.3871829845041808,0.00023875646278449434
dp035,dp035_coarse_a0,7.5724919912054895,1.4222476998457783,1.4222539203936087,4.373744342190121e-06
dp036,dp036_coarse_a0,3.7967148546829392,0.41946187333289997,0.4194534366699665,2.011306264011938e-05
dp037,dp037_coarse_a0,8.93999257878471,1.4452263318535248,1.4448397807507398,0.00026746751997605957
dp038,dp038_coarse_a0,4.841030953010094,1.2631580838579999,1.263162944854774,3.848288536750243e-06
dp039,dp039_coarse_a0,16.296680900991824,1.0873723823918877,1.0867048545564009,0.0006138907390847004
dp040,dp040_coarse_a0,4.5289192398066955,1.3696795135087008,1.3700948830407846,0.0003032603817077075
dp041,dp041_coarse_a0,11.995401434972528,0.9750921763619743,0.9751134551472203,2.1822332043856097e-05
dp042,dp042_coarse_a0,6.522730235169831,1.034380360946379,1.0344122766992945,3.085494864402655e-05
dp043,dp043_coarse_Co0p1,14.501617500218336,0.7232367474564063,0.7232844661535434,6.597935918614391e-05
dp044,dp044_coarse_a0,3.1674785062042874,1.023888282215985,1.0233526550436605,0.0005231304836941993
dp045,dp045_coarse_a0,11.700058762187398,1.3754681979323038,1.3754812198281179,9.4672460138787e-06
dp046,dp046_coarse_a0,8.45184801262078,1.3045444559155777,1.3045283855999679,1.2318718259790137e-05
dp047,dp047_coarse_a0,5.761385305480542,1.384833475303861,1.385240817734873,0.0002941454249021943
dp048,dp048_coarse_a0,19.525479146107756,1.418019875572088,1.4180098046827636,7.102079101968207e-06
dp049,dp049_coarse_a0,4.251032938803662,1.3125123254100168,1.3116493827639382,0.00065747393709929
dp050,dp050_coarse_a0,10.084227667136116,0.8067546386535244,0.8067756816846162,2.608355760677194e-05
dp051,dp051_coarse_c0,3.46435059366458,1.444521503267615,1.4445716565636235,3.471966038233887e-05
dp052,dp052_coarse_a0,3.3819345704035726,0.9801884206960133,0.9802521256741724,6.499258388899486e-05
dp053,dp053_coarse_Co0p05,9.8805834094756,1.4911591591980526,1.4927400787806078,0.0010601950655658714
dp054,dp054_coarse_a0,9.584135773534856,1.297011916912075,1.2969996327900248,9.471094205115982e-06
dp055,dp055_coarse_a0,5.405110292112265,1.3643324836756443,1.3643833914630192,3.731332940030969e-05
