case,attempt,sizing_radius_m,standoff_margin,asymptote_margin_deg,status,n_cells,h_m,solver_wall_time_s,total_wall_time_s,verdict,shock_clearance_ok,outer_outlet_min_mach,outer_outlet_n_faces,outer_outlet_mach_deficit_rel,p_stag_rel_error_vs_rayleigh_pitot,reasons,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,startup_first_order_iterations,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,cd_fore_converged,max_non_orthogonality_deg,max_skewness,patience_pass,restart_source_case,restart_source_iteration,max_co,restart_blocks_run,courant_pass,restart_consecutive_passes_required,restart_passed_in_a_row
dp013_coarse_a0,0,0.96,2.0,6.0,OK,3072,0.00958329772401668,158.9821657499997,177.0601221260149,USABLE,True,20.00000000083214,2.0,-4.1607162160062217e-11,-0.005789802408268763,,1.3174862221571244,1.3174862221571244,,forebody,1.7619290290681429,1.3170683646672916,0.12630843224099278,0.21051405373498797,0.5436718155485187,0.010246744111774772,1.615977827696658,0.006340894,512475.2462,512499.47398788057,513254.5973,512.4994739878806,4.9478160515,123.26681908,15000.0,10000.0,1.0,1500.0,0.0009055890336354082,7.887464118105832e-06,True,44.8277307,0.9621206942,,,,,,,,
dp012_coarse_a0,0,0.96,2.0,6.0,OK,3072,0.012618635118607857,217.89027987601003,234.744230833021,USABLE,True,3.000000000124821,2.0,-4.160694011545729e-11,0.0005026790311273288,,1.23543602909752,1.23543602909752,,forebody,1.4705994238799553,1.2354228865443557,0.2027827523199807,0.3379712538666345,0.48471472308720864,0.015500837749961666,1.6209018352564961,0.009563094699999997,12065.7273,12067.027495317116,12084.25963,12.067027495317115,0.28114376282,8.8554601012,20000.0,10000.0,2.0,1500.0,0.00035382004563892376,4.4673701528123265e-06,True,47.05884467,0.8326391039,,,,,,,,
dp017_coarse_a0,0,0.6,2.0,29.88614007722539,OK,3072,0.008704547483546097,118.7230951669917,134.41446299997915,USABLE,True,20.00000000083214,2.0,-4.1607162160062217e-11,-0.009530321104259332,,0.8899271755415644,0.8899271755415644,,forebody,2.0500604371707665,0.8897346521103946,0.0792543447354749,0.13209057455912482,0.5418707606278901,0.006122990460459665,1.5450159377258517,0.003963059739999997,510506.0381,510571.29635624844,512013.6263,510.5712963562484,20.942411462,139.25949375,10000.0,10000.0,0.0,1500.0,0.0006112558096904672,5.3340714337659914e-05,True,41.61559387,1.09087579,,,,,,,,
dp016_coarse_a0,0,0.6,2.0,20.311940503518812,OK,3072,0.011202611821744524,119.24305375000404,134.84195450198604,USABLE,True,3.000000000124821,2.0,-4.160694011545729e-11,-0.005809181561404531,,0.8679730902103046,0.8679730902103046,,forebody,1.6681646175486053,0.8678247561549304,0.13001347656728413,0.2166891276121402,0.47140253688120703,0.009603536419428016,1.560065201564341,0.0061558557999999985,11989.63126,11990.900367511273,12020.0469,11.990900367511273,0.96103769783,11.02687998,10000.0,10000.0,0.0,1500.0,0.0009543186897003166,1.9079702659501073e-06,True,45.9720469,1.008058373,,,,,,,,
dp015_coarse_a0,0,1.44,2.0,6.0,OK,3072,0.01281600621856069,288.94508287600183,305.0250873759942,REJECTED,True,20.00000000083214,2.0,-4.1607162160062217e-11,-0.006500330596930226,"force criterion not met (p2p 0.001228164212893789, drift 0.0006536310173034533) after 3 extensions",1.3633737341682224,1.3633737341682224,,forebody,1.7140079610781627,1.3633615673175332,0.17051204192980185,0.28418673654966975,0.5893150908959999,0.01302210289716682,1.452308541411262,0.008966485100000005,512071.7421,512133.20805757266,512744.1388,512.1332080575727,2.9315657217,56.016938469,25000.0,10000.0,3.0,1500.0,0.001228164212893789,0.0006536310173034533,False,56.34913686,0.9168894672,,,,,,,,
dp015_coarse_c0,1,1.44,2.0,6.0,OK,3072,0.01281600621856069,663.0100247919763,715.4213935409789,USABLE,True,20.00000000083214,2.0,-4.1607162160062217e-11,-0.007261842808587882,,1.3633331105090767,1.3633331105090767,,forebody,1.7137822475903477,1.362873305257763,0.17047988423778787,0.28413314039631316,0.5893925439525247,0.0125216489956739,1.3964947084642894,0.008966485100000005,511690.9297,511740.66067789856,512354.0352,511.7406606778986,3.1904062252,56.016938469,35000.0,10000.0,5.0,1500.0,0.0007699509706159403,6.659614180897018e-07,True,,,True,,,,,,,
dp018_coarse_a0,0,0.6,2.0,15.626892663754035,OK,3072,0.011065185331707,151.19601745699765,167.18163658199774,USABLE,True,3.000000000124821,2.0,-4.160694011545729e-11,-0.0067238676523037055,,0.8563007139360854,0.8563007139360854,,forebody,1.7473559066096491,0.8562375998236492,0.1300704484109427,0.2167840806849045,0.47117090572402043,0.00966243786133486,1.5696335611589314,0.0061558557999999985,11977.91733,11979.868370856198,12007.40391,11.979868370856199,0.31984169669,11.513634986,15000.0,10000.0,1.0,1500.0,0.0004423404302913446,5.5022136661648506e-05,True,43.7720602,0.9561938283,,,,,,,,
dp019_coarse_a0,0,0.6,2.0,24.342995834370537,OK,3072,0.008590375997143547,101.11520379099238,116.25472345901653,USABLE,True,20.00000000083214,2.0,-4.1607162160062217e-11,-0.010283738995096825,,0.8816540621613268,0.8816540621613268,,forebody,2.046040380878753,0.8817007298076815,0.07927057098567769,0.13211761830946284,0.541776964891037,0.006129581692352212,1.546679089547373,0.00396305978,510109.6741,510182.9214696474,511656.0989,510.1829214696474,24.732806098,145.43987592,10000.0,10000.0,0.0,1500.0,0.000563959836848796,7.067397351270967e-05,True,39.50858512,1.045758051,,,,,,,,
dp020_coarse_a0,0,0.6,2.0,15.626892663754035,OK,3072,0.011228533494566094,152.44251891701424,168.07940325101663,USABLE,True,3.000000000124821,2.0,-4.160694011545729e-11,-0.00830932363203818,,0.8550122056373115,0.8550122056373115,,forebody,1.7900646560688633,0.8549317670240113,0.13009526075546574,0.2168254345924429,0.4710700258559083,0.009829669938696911,1.5967998502071736,0.006155855999999987,11959.50364,11960.74624224921,11989.27245,11.96074624224921,0.35833459411,11.017665683,15000.0,10000.0,1.0,1500.0,0.00045122955853155525,5.353781157603628e-05,True,43.46634222,0.9686712978,,,,,,,,
dp021_coarse_a0,0,0.6,2.0,24.342995834370537,OK,3072,0.008728980333834095,99.31372900000133,115.9455259989918,USABLE,True,20.00000000083214,2.0,-4.1607162160062217e-11,-0.010799949538040976,,0.8808016542892206,0.8808016542892206,,forebody,2.1441228655534714,0.8809430584908298,0.07931477149847715,0.13219128583079526,0.5415214641058591,0.006151095846279597,1.5521077229546192,0.003963059879999994,509874.8474,509916.8231814114,511373.0721,509.9168231814114,27.247335634,138.51645057,10000.0,10000.0,0.0,1500.0,0.0005249765344751626,0.00013226581405755895,True,39.10526119,1.048816141,,,,,,,,
