point_id,role,split,mach,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,diameter_m,label
dp063,anchor,train,27.0,0.25,20.0,0.1,1.2,vertex1@M27
dp064,anchor,train,27.0,0.25,70.0,0.02,1.2,vertex2@M27
dp065,anchor,train,27.0,0.25,70.0,0.1,1.2,vertex3@M27
dp066,anchor,train,27.0,1.35,70.0,0.02,1.2,vertex6@M27
dp067,anchor,train,27.0,0.8,52.520127555148015,0.02,1.2,boundary0@M27
dp068,anchor,train,27.0,0.8,55.65009542095352,0.1,1.2,boundary1@M27
dp069,anchor,train,27.0,1.2,69.17631373650207,0.1,1.2,boundary2@M27
dp070,anchor,train,27.0,0.5,25.0,0.1,1.2,baseline@M27
dp071,anchor,train,27.0,0.5,20.0,0.02,1.2,blunt_lo_angle_a@M27
dp072,anchor,train,27.0,0.5,20.0,0.1,1.2,blunt_lo_angle_b@M27
dp073,anchor,train,27.0,1.2,70.0,0.1,1.2,m4_front_hi@M27
dp074,anchor,train,27.0,1.15,70.0,0.1,1.2,m4_front_lo_b@M27
dp075,anchor,train,27.0,1.15,68.10731219459836,0.1,1.2,m4_front_lo_b_crit@M27
sc1p2,scale_check,check,6.0,0.5,25.0,0.1,1.2,scale_D1.2
sc3,scale_check,check,6.0,0.5,25.0,0.1,3.0,scale_D3
