point_id,role,split,mach,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,diameter_m,label,mesh_level,attempts,verdict,reasons,case,attempt,sizing_radius_m,standoff_margin,asymptote_margin_deg,status,n_cells,h_m,solver_wall_time_s,total_wall_time_s,shock_clearance_ok,outer_outlet_min_mach,outer_outlet_n_faces,outer_outlet_mach_deficit_rel,p_stag_rel_error_vs_rayleigh_pitot,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,startup_first_order_iterations,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,cd_fore_converged,max_non_orthogonality_deg,max_skewness,nose_radius_m,shoulder_radius_m,patience_pass,gate_G4_status_at_build
dp020,anchor,train,3.0,0.5,20.0,0.1,1.2,blunt_lo_angle_b,coarse,1,USABLE,,dp020_coarse_a0,0,0.6,2.0,15.626892663754035,OK,3072,0.011228533494566094,152.44251891701424,168.07940325101663,True,3.000000000124821,2,-4.160694011545729e-11,-0.00830932363203818,0.8550122056373115,0.8550122056373115,,forebody,1.7900646560688633,0.8549317670240113,0.13009526075546574,0.2168254345924429,0.4710700258559083,0.009829669938696911,1.5967998502071736,0.006155855999999987,11959.50364,11960.74624224921,11989.27245,11.96074624224921,0.35833459411,11.017665683,15000,10000,1,1500,0.00045122955853155525,5.353781157603628e-05,True,43.46634222,0.9686712978,0.6,0.12,,IN_PROGRESS
dp021,anchor,train,20.0,0.5,20.0,0.1,1.2,blunt_lo_angle_b,coarse,1,USABLE,,dp021_coarse_a0,0,0.6,2.0,24.342995834370537,OK,3072,0.008728980333834095,99.31372900000133,115.9455259989918,True,20.00000000083214,2,-4.1607162160062217e-11,-0.010799949538040976,0.8808016542892206,0.8808016542892206,,forebody,2.1441228655534714,0.8809430584908298,0.07931477149847715,0.13219128583079526,0.5415214641058591,0.006151095846279597,1.5521077229546192,0.003963059879999994,509874.8474,509916.8231814114,511373.0721,509.9168231814114,27.247335634,138.51645057,10000,10000,0,1500,0.0005249765344751626,0.00013226581405755895,True,39.10526119,1.048816141,0.6,0.12,,IN_PROGRESS
dp022,fill,train,12.85410397448922,0.27043715473264457,66.64569199085236,0.03015693411231041,1.2,draw0,coarse,1,USABLE,,dp022_coarse_a0,0,1.132913839817047,2.0,6.0,OK,3072,0.011359302853189004,214.21138295800483,229.96226229199965,True,12.854103975517827,2,-8.002154494590741e-11,-0.002177954882878419,1.5053869576509744,1.5053869576509744,,forebody,1.4999762858690713,1.5056855107050897,0.09001440089399176,0.1500240014899863,0.7275838299236698,0.008614151627931721,1.4839694946259812,0.0058048037100000005,212655.279,212737.10215292763,213203.1911,212.73710215292763,0.98162843723,52.16324899,20000,10000,2,1500,0.0003506877474336176,0.0001133533698122954,True,62.84781661,1.155710676,0.32452458567917347,0.03618832093477249,,IN_PROGRESS
dp023,fill,test,9.462523078153232,0.6071282286196947,44.13978986442089,0.08494714781641961,1.2,draw4,coarse,1,USABLE,,dp023_coarse_a0,0,0.7285538743436336,2.0,49.30239718287338,OK,3072,0.009616420903471345,209.54945904300257,226.54207183200924,True,9.462523079606692,2,-1.5360179794754458e-10,-0.001960635607816008,1.1429407191229979,1.1429407191229979,,forebody,1.7883997696464793,1.142877958477728,0.10021984920257704,0.16703308200429506,0.5361142813399598,0.008183702711823268,1.653528282581596,0.004949236610000005,115503.2184,115521.4421762943,115720.2225,115.5214421762943,0.91573609536,50.083390188,20000,10000,2,1500,0.0005117692737913538,5.032053334142496e-05,True,57.08342139,1.283910105,0.7285538743436336,0.10193657737970353,,IN_PROGRESS
dp024,fill,test,5.144832881715895,0.49076446313411,25.768967093899846,0.07924222014844418,1.2,draw6,coarse,1,USABLE,,dp024_coarse_a0,0,0.6,2.0,24.74778852972969,OK,3072,0.009626506361771734,159.49905816699902,174.947430331973,True,5.144832880250614,2,2.848064006855111e-10,-0.009931799267325236,0.868047046432721,0.868047046432721,,forebody,1.8609596709002993,0.8680025209752018,0.09319547233551702,0.1553257872258617,0.5194735373042714,0.007044078849767987,1.5393636165398714,0.004575968129999997,34198.29595,34201.93886341618,34294.54232,34.20193886341618,3.6462010718,27.698605867,15000,10000,1,1500,0.00027718144386679167,7.387086754543305e-06,True,43.48804499,1.044481145,0.588917355760932,0.09509066417813301,,IN_PROGRESS
dp025,fill,train,4.813687125797088,0.32498500421643256,41.39622909016907,0.025220952555537225,1.2,draw10,coarse,1,USABLE,,dp025_coarse_a0,0,0.6279245818033815,2.0,41.911170075393656,OK,3072,0.011566840284481374,106.06970974999422,123.62781708300463,True,4.8136871263053695,2,-1.0559086938144446e-10,-0.004993419228747742,0.9301443940141364,0.9301443940141364,,forebody,1.5991119336931814,0.930085781312856,0.06340827373727936,0.10568045622879894,0.6929942132228453,0.0058713163292685375,1.5254855643365879,0.0038488180200000055,30143.36551,30148.34971155528,30209.04928,30.148349711555277,0.054255767738,15.579421084,10000,10000,0,1500,0.0004675141734094986,0.00016054663790269477,True,55.14108682,1.057370164,0.3899820050597191,0.03026514306664467,,IN_PROGRESS
dp026,fill,train,11.334642525413372,0.44649264551699164,51.023043394088745,0.06426599696278572,1.2,draw12,coarse,1,USABLE,,dp026_coarse_a0,0,0.820460867881775,2.0,58.82614891334539,OK,3072,0.011942827944335554,145.71365133400832,162.26801583300403,True,11.334642525536445,2,-1.0858203225438956e-11,-0.0038825005837758164,1.1992380100914355,1.1992380100914355,,forebody,1.7406472436023759,1.1992375428268462,0.07287477586062166,0.12145795976770277,0.6971686611506223,0.007111713069515815,1.5858802363642515,0.004484394789999999,165210.0212,165234.81988367357,165664.4839,165.23481988367357,0.39411301497,31.671134302,15000,10000,1,1500,8.082045139309513e-05,1.1584176083515549e-05,True,64.00317973,1.341991446,0.5357911746203899,0.07711919635534285,,IN_PROGRESS
dp027,fill,train,6.137030953140419,0.553734259493649,68.5897280741483,0.09996243707835675,1.2,draw14,coarse,1,USABLE,,dp027_coarse_a0,0,1.171794561482966,2.0,6.0,OK,3072,0.012226743108937736,152.41152725000575,166.84917887600022,True,6.137030953439124,2,-4.867262148877671e-11,-0.007959767458258327,1.3468618605579754,1.3468618605579754,,forebody,1.6547003824834867,1.346873060551789,0.13671435512352167,0.2278572585392028,0.6256859697738096,0.012002243253392081,1.614090166611437,0.007435918699999988,48564.14324,48566.7845412774,48649.88504,48.5667845412774,0.73573248051,19.635099963,15000,10000,1,1500,0.0003913047669106471,0.00012373767753566045,True,56.02212211,0.8486169845,0.6644811113923788,0.1199549244940281,,IN_PROGRESS
dp028,fill,train,15.403960369410035,0.5780418107286096,53.473076624795794,0.0761714966595173,1.2,draw16,coarse,1,USABLE,,dp028_coarse_a0,0,0.869461532495916,2.0,63.24340588138521,OK,3072,0.011889307504620618,148.48526016502,163.17796420400555,True,15.403960368900403,2,3.308442408922474e-11,-0.009039448058190125,1.2590195548127372,1.2590195548127372,,forebody,1.8295716469058416,1.2589478023410394,0.0926438492719351,0.15440641545322517,0.6324892462856724,0.007642617892042916,1.4891523441959182,0.005132193440000002,303247.4102,303209.2248035353,304132.8489,303.20922480353534,0.32592427125,42.342950164,15000,10000,1,1500,0.0003942028061545683,7.814595362930136e-05,True,66.8581401,1.449689117,0.6936501728743315,0.09140579599142075,,IN_PROGRESS
dp029,fill,train,3.354095120584024,0.41887694112956525,60.12514939531684,0.08061553351581097,1.2,draw18,coarse,1,USABLE,,dp029_coarse_a0,0,1.0025029879063367,2.0,6.0,OK,3072,0.013245632264046433,150.70232933400257,166.13998491498933,True,3.354095120676197,2,-2.7480684394731725e-11,-0.000930421208200527,1.296623903040267,1.296623903040267,,forebody,1.4728168710354181,1.2964682958511276,0.13034526547923203,0.21724210913205338,0.6591476985005954,0.011874614009979342,1.5708814554583754,0.007559204399999991,14938.337,14941.332852915733,14971.82694,14.941332852915734,0.11732907857,8.6784238001,15000,10000,1,1500,0.0004352828821341007,0.00011921952835812678,True,50.98929195,0.8181616499,0.5026523293554783,0.09673864021897316,,IN_PROGRESS
